,Angry,Bored,Calm,Fear,Happy,Love,Sad
Angry,0.000000,0.262080,-0.287727,0.343347,-0.323031,-0.389242,0.394573
Bored,0.346106,0.000000,-0.241666,-0.252877,-0.113214,-0.392244,0.653894
Calm,-0.257153,-0.211406,0.000000,-0.060775,1.000000,-0.146662,-0.324003
Fear,0.644233,-0.254708,-0.070167,0.000000,-0.475578,-0.199547,0.355767
Happy,-0.255628,-0.087550,0.346860,-0.366164,0.000000,0.653140,-0.290658
Love,-0.276904,-0.272969,-0.117060,-0.138148,1.000000,0.000000,-0.194919
Sad,0.365496,0.458053,-0.361289,0.176451,-0.365843,-0.272868,0.000000
