,Angry,Bored,Calm,Fear,Happy,Love,Sad
Angry,0.000000,0.000000,0.287727,0.000000,0.323031,0.389242,0.000000
Bored,0.000000,0.000000,0.241666,0.252877,0.113214,0.392244,0.000000
Calm,0.257153,0.211406,0.000000,0.060775,0.000000,0.146662,0.324003
Fear,0.000000,0.254708,0.070167,0.000000,0.475578,0.199547,0.000000
Happy,0.255628,0.087550,0.000000,0.366164,0.000000,0.000000,0.290658
Love,0.276904,0.272969,0.117060,0.138148,0.000000,0.000000,0.194919
Sad,0.000000,0.000000,0.361289,0.000000,0.365843,0.272868,0.000000
