,Angry,Bored,Calm,Fear,Happy,Love,Sad
Angry,0.000000,0.000000,0.327302,0.000000,0.307926,0.364772,0.000000
Bored,0.000000,0.000000,0.257010,0.374981,0.014912,0.353097,0.000000
Calm,0.349758,0.232863,0.000000,0.053216,0.000000,0.075815,0.288348
Fear,0.000000,0.339945,0.054624,0.000000,0.450130,0.155302,0.000000
Happy,0.306049,0.012173,0.000000,0.418144,0.000000,0.000000,0.263633
Love,0.306266,0.250292,0.059630,0.121553,0.000000,0.000000,0.262259
Sad,0.000000,0.000000,0.318938,0.000000,0.313732,0.367330,0.000000
