,Angry,Bored,Calm,Fear,Happy,Love,Sad
Angry,0.000000,0.210353,-0.327302,0.380843,-0.307926,-0.364772,0.408804
Bored,0.332652,0.000000,-0.257010,-0.374981,-0.014912,-0.353097,0.667348
Calm,-0.349758,-0.232863,0.000000,-0.053216,1.000000,-0.075815,-0.288348
Fear,0.699373,-0.339945,-0.054624,0.000000,-0.450130,-0.155302,0.300627
Happy,-0.306049,-0.012173,0.131684,-0.418144,0.000000,0.868316,-0.263633
Love,-0.306266,-0.250292,-0.059630,-0.121553,1.000000,0.000000,-0.262259
Sad,0.413954,0.419743,-0.318938,0.166303,-0.313732,-0.367330,0.000000
