,Angry,Bored,Calm,Fear,Happy,Love,Sad
Angry,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
Bored,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
Calm,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Fear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Happy,0.000000,0.000000,0.078275,0.000000,0.000000,0.921725,0.000000
Love,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Sad,0.283727,0.716273,0.000000,0.000000,0.000000,0.000000,0.000000
