,Angry,Bored,Calm,Fear,Happy,Love,Sad
Angry,0.000000,0.210353,0.000000,0.380843,0.000000,0.000000,0.408804
Bored,0.332652,0.000000,0.000000,0.000000,0.000000,0.000000,0.667348
Calm,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Fear,0.699373,0.000000,0.000000,0.000000,0.000000,0.000000,0.300627
Happy,0.000000,0.000000,0.131684,0.000000,0.000000,0.868316,0.000000
Love,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Sad,0.413954,0.419743,0.000000,0.166303,0.000000,0.000000,0.000000
