,Angry,Bored,Calm,Fear,Happy,Love,Sad
Angry,0.000000,0.262080,0.000000,0.343347,0.000000,0.000000,0.394573
Bored,0.346106,0.000000,0.000000,0.000000,0.000000,0.000000,0.653894
Calm,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Fear,0.644233,0.000000,0.000000,0.000000,0.000000,0.000000,0.355767
Happy,0.000000,0.000000,0.346860,0.000000,0.000000,0.653140,0.000000
Love,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Sad,0.365496,0.458053,0.000000,0.176451,0.000000,0.000000,0.000000
